Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.157035;31.250000;489062400.000000
1;0.078518;15.625000;978124800.000000
2;0.000000;0.000000;inf
3;0.157035;31.250000;489062400.000000
4;0.157035;31.250000;489062400.000000
5;0.078518;15.625000;978124800.000000
6;0.000000;0.000000;inf
7;0.000000;0.000000;inf
8;0.078518;15.625000;978124800.000000
9;0.235553;46.875000;326041600.000000
10;0.000000;0.000000;inf
11;0.157035;31.250000;489062400.000000
12;0.078518;15.625000;978124800.000000
13;0.078518;15.625000;978124800.000000
14;0.000000;0.000000;inf
15;0.078518;15.625000;978124800.000000
16;0.078518;15.625000;978124800.000000
17;0.078518;15.625000;978124800.000000
18;0.157035;31.250000;489062400.000000
19;0.078518;15.625000;978124800.000000
20;0.000000;0.000000;inf
21;0.000000;0.000000;inf
22;0.000000;0.000000;inf
23;0.078518;15.625000;978124800.000000
24;0.000000;0.000000;inf
25;0.000000;0.000000;inf
26;0.000000;0.000000;inf
27;0.000000;0.000000;inf
28;0.000000;0.000000;inf
29;0.078518;15.625000;978124800.000000
30;0.000000;0.000000;inf
31;0.000000;0.000000;inf
32;0.157035;31.250000;489062400.000000
33;0.078518;15.625000;978124800.000000
34;0.000000;0.000000;inf
35;0.000000;0.000000;inf
36;0.078518;15.625000;978124800.000000
37;0.392588;78.125000;195624960.000000
38;0.000000;0.000000;inf
39;0.157035;31.250000;489062400.000000
40;0.000000;0.000000;inf
41;0.000000;0.000000;inf
42;0.000000;0.000000;inf
43;0.157035;31.250000;489062400.000000
44;0.000000;0.000000;inf
45;0.078518;15.625000;978124800.000000
46;0.078518;15.625000;978124800.000000
47;0.000000;0.000000;inf
48;0.000000;0.000000;inf
49;0.157035;31.250000;489062400.000000
50;0.000000;0.000000;inf
51;0.078518;15.625000;978124800.000000
52;0.314070;62.500000;244531200.000000
53;0.000000;0.000000;inf
54;0.157035;31.250000;489062400.000000
55;0.157035;31.250000;489062400.000000
56;0.078518;15.625000;978124800.000000
57;0.235553;46.875000;326041600.000000
58;0.000000;0.000000;inf
59;0.314070;62.500000;244531200.000000
60;0.000000;0.000000;inf
61;0.078518;15.625000;978124800.000000
62;0.000000;0.000000;inf
63;0.157035;31.250000;489062400.000000
64;0.157035;31.250000;489062400.000000
65;0.314070;62.500000;244531200.000000
66;0.078518;15.625000;978124800.000000
67;0.000000;0.000000;inf
68;0.078518;15.625000;978124800.000000
69;0.000000;0.000000;inf
70;0.157035;31.250000;489062400.000000
71;0.157035;31.250000;489062400.000000
72;0.078518;15.625000;978124800.000000
73;0.000000;0.000000;inf
74;0.000000;0.000000;inf
75;0.078518;15.625000;978124800.000000
76;0.078518;15.625000;978124800.000000
77;0.157035;31.250000;489062400.000000
78;0.000000;0.000000;inf
79;0.078518;15.625000;978124800.000000
80;0.000000;0.000000;inf
81;0.000000;0.000000;inf
82;0.000000;0.000000;inf
83;0.000000;0.000000;inf
84;0.078518;15.625000;978124800.000000
85;0.157035;31.250000;489062400.000000
86;0.000000;0.000000;inf
87;0.000000;0.000000;inf
88;0.157035;31.250000;489062400.000000
