Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.471106;93.750000;163020800.000000
1;0.628141;125.000000;122265600.000000
2;0.392588;78.125000;195624960.000000
3;0.392588;78.125000;195624960.000000
4;0.157035;31.250000;489062400.000000
5;0.392588;78.125000;195624960.000000
6;0.392588;78.125000;195624960.000000
7;0.314070;62.500000;244531200.000000
8;0.471106;93.750000;163020800.000000
9;0.392588;78.125000;195624960.000000
10;0.628141;125.000000;122265600.000000
11;0.314070;62.500000;244531200.000000
12;0.157035;31.250000;489062400.000000
13;0.235553;46.875000;326041600.000000
14;0.471106;93.750000;163020800.000000
15;0.314070;62.500000;244531200.000000
16;0.549623;109.375000;139732114.285714
17;0.235553;46.875000;326041600.000000
18;0.392588;78.125000;195624960.000000
19;0.549623;109.375000;139732114.285714
20;0.157035;31.250000;489062400.000000
21;0.314070;62.500000;244531200.000000
22;0.628141;125.000000;122265600.000000
23;0.471106;93.750000;163020800.000000
24;0.471106;93.750000;163020800.000000
25;0.392588;78.125000;195624960.000000
26;0.392588;78.125000;195624960.000000
27;0.706658;140.625000;108680533.333333
28;0.235553;46.875000;326041600.000000
29;0.392588;78.125000;195624960.000000
30;0.314070;62.500000;244531200.000000
31;0.471106;93.750000;163020800.000000
32;0.471106;93.750000;163020800.000000
33;0.314070;62.500000;244531200.000000
34;0.314070;62.500000;244531200.000000
35;0.157035;31.250000;489062400.000000
36;0.392588;78.125000;195624960.000000
37;0.471106;93.750000;163020800.000000
38;0.471106;93.750000;163020800.000000
39;0.471106;93.750000;163020800.000000
40;0.392588;78.125000;195624960.000000
41;0.235553;46.875000;326041600.000000
42;0.314070;62.500000;244531200.000000
43;0.549623;109.375000;139732114.285714
44;0.235553;46.875000;326041600.000000
45;0.628141;125.000000;122265600.000000
46;0.235553;46.875000;326041600.000000
47;0.392588;78.125000;195624960.000000
48;0.392588;78.125000;195624960.000000
49;0.235553;46.875000;326041600.000000
50;0.471106;93.750000;163020800.000000
51;0.392588;78.125000;195624960.000000
52;0.314070;62.500000;244531200.000000
53;0.314070;62.500000;244531200.000000
54;0.235553;46.875000;326041600.000000
55;0.314070;62.500000;244531200.000000
56;0.392588;78.125000;195624960.000000
57;0.235553;46.875000;326041600.000000
58;0.549623;109.375000;139732114.285714
59;0.392588;78.125000;195624960.000000
60;0.549623;109.375000;139732114.285714
61;0.314070;62.500000;244531200.000000
62;0.471106;93.750000;163020800.000000
63;0.314070;62.500000;244531200.000000
64;0.392588;78.125000;195624960.000000
65;0.471106;93.750000;163020800.000000
66;0.078518;15.625000;978124800.000000
67;0.392588;78.125000;195624960.000000
68;0.314070;62.500000;244531200.000000
69;0.235553;46.875000;326041600.000000
70;0.235553;46.875000;326041600.000000
71;0.314070;62.500000;244531200.000000
72;0.314070;62.500000;244531200.000000
73;0.471106;93.750000;163020800.000000
74;0.549623;109.375000;139732114.285714
75;0.314070;62.500000;244531200.000000
76;0.314070;62.500000;244531200.000000
77;0.314070;62.500000;244531200.000000
78;0.471106;93.750000;163020800.000000
79;0.471106;93.750000;163020800.000000
80;0.314070;62.500000;244531200.000000
81;0.314070;62.500000;244531200.000000
82;0.314070;62.500000;244531200.000000
83;0.471106;93.750000;163020800.000000
84;0.471106;93.750000;163020800.000000
85;0.157035;31.250000;489062400.000000
86;0.314070;62.500000;244531200.000000
87;0.314070;62.500000;244531200.000000
88;0.157035;31.250000;489062400.000000
89;0.471106;93.750000;163020800.000000
90;0.392588;78.125000;195624960.000000
91;0.471106;93.750000;163020800.000000
92;0.471106;93.750000;163020800.000000
93;0.628141;125.000000;122265600.000000
94;0.549623;109.375000;139732114.285714
95;0.314070;62.500000;244531200.000000
96;0.392588;78.125000;195624960.000000
97;0.314070;62.500000;244531200.000000
98;0.157035;31.250000;489062400.000000
99;0.157035;31.250000;489062400.000000
100;0.471106;93.750000;163020800.000000
101;0.549623;109.375000;139732114.285714
102;0.471106;93.750000;163020800.000000
103;0.235553;46.875000;326041600.000000
104;0.314070;62.500000;244531200.000000
105;0.078518;15.625000;978124800.000000
106;0.314070;62.500000;244531200.000000
107;0.706658;140.625000;108680533.333333
108;0.314070;62.500000;244531200.000000
109;0.078518;15.625000;978124800.000000
110;0.314070;62.500000;244531200.000000
111;0.392588;78.125000;195624960.000000
112;0.471106;93.750000;163020800.000000
113;0.314070;62.500000;244531200.000000
114;0.235553;46.875000;326041600.000000
115;0.314070;62.500000;244531200.000000
116;0.314070;62.500000;244531200.000000
117;0.471106;93.750000;163020800.000000
118;0.706658;140.625000;108680533.333333
119;0.471106;93.750000;163020800.000000
120;0.549623;109.375000;139732114.285714
121;0.392588;78.125000;195624960.000000
122;0.471106;93.750000;163020800.000000
123;0.549623;109.375000;139732114.285714
124;0.157035;31.250000;489062400.000000
125;0.235553;46.875000;326041600.000000
126;0.157035;31.250000;489062400.000000
127;0.392588;78.125000;195624960.000000
128;0.235553;46.875000;326041600.000000
129;0.314070;62.500000;244531200.000000
130;0.549623;109.375000;139732114.285714
131;0.392588;78.125000;195624960.000000
132;0.235553;46.875000;326041600.000000
133;0.314070;62.500000;244531200.000000
134;0.157035;31.250000;489062400.000000
135;0.549623;109.375000;139732114.285714
136;0.157035;31.250000;489062400.000000
137;0.157035;31.250000;489062400.000000
138;0.235553;46.875000;326041600.000000
139;0.314070;62.500000;244531200.000000
140;0.549623;109.375000;139732114.285714
141;0.471106;93.750000;163020800.000000
142;0.471106;93.750000;163020800.000000
143;0.392588;78.125000;195624960.000000
144;0.392588;78.125000;195624960.000000
145;0.235553;46.875000;326041600.000000
146;0.157035;31.250000;489062400.000000
147;0.314070;62.500000;244531200.000000
148;0.392588;78.125000;195624960.000000
149;0.392588;78.125000;195624960.000000
150;0.471106;93.750000;163020800.000000
151;0.471106;93.750000;163020800.000000
152;0.471106;93.750000;163020800.000000
153;0.235553;46.875000;326041600.000000
154;0.471106;93.750000;163020800.000000
155;0.235553;46.875000;326041600.000000
156;0.314070;62.500000;244531200.000000
157;0.471106;93.750000;163020800.000000
158;0.157035;31.250000;489062400.000000
159;0.314070;62.500000;244531200.000000
160;0.392588;78.125000;195624960.000000
161;0.157035;31.250000;489062400.000000
162;0.392588;78.125000;195624960.000000
163;0.549623;109.375000;139732114.285714
164;0.549623;109.375000;139732114.285714
165;0.392588;78.125000;195624960.000000
166;0.549623;109.375000;139732114.285714
167;0.392588;78.125000;195624960.000000
168;0.549623;109.375000;139732114.285714
169;0.706658;140.625000;108680533.333333
170;0.392588;78.125000;195624960.000000
171;0.549623;109.375000;139732114.285714
172;0.235553;46.875000;326041600.000000
173;0.235553;46.875000;326041600.000000
174;0.549623;109.375000;139732114.285714
175;0.078518;15.625000;978124800.000000
176;0.471106;93.750000;163020800.000000
177;0.471106;93.750000;163020800.000000
178;0.392588;78.125000;195624960.000000
179;0.471106;93.750000;163020800.000000
180;0.392588;78.125000;195624960.000000
181;0.157035;31.250000;489062400.000000
182;0.392588;78.125000;195624960.000000
183;0.392588;78.125000;195624960.000000
