Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.516116;102.707000;148803878.995589
1;0.392492;78.106000;195672547.563567
2;0.391975;78.003000;195930925.733626
3;0.375829;74.790000;204348174.889693
4;0.405593;80.713000;189352396.763842
5;0.390744;77.758000;196548265.130277
6;0.375141;74.653000;204723185.940285
7;0.406588;80.911000;188889026.213985
8;0.351000;69.849000;218803418.803418
9;0.386508;76.915000;198702463.758691
10;0.359417;71.524000;213679324.422575
11;0.374633;74.552000;205000536.538250
12;0.342563;68.170000;224192460.026412
13;0.391377;77.884000;196230291.202303
14;0.391357;77.880000;196240369.799693
15;0.374367;74.499000;205146377.803730
16;0.390578;77.725000;196631714.377614
17;0.373844;74.395000;205433160.830697
18;0.397915;79.185000;193006251.183938
19;0.390372;77.684000;196735492.508106
20;0.375643;74.753000;204449319.759739
21;0.375080;74.641000;204756099.194805
22;0.360945;71.828000;212774962.410199
23;0.374653;74.556000;204989538.065339
24;0.375251;74.675000;204662872.447277
25;0.358060;71.254000;214489011.143238
26;0.295945;58.893000;259507921.145134
27;0.390965;77.802000;196437109.585869
28;0.375332;74.691000;204619030.405278
29;0.390724;77.754000;196558376.417937
30;0.390970;77.803000;196434584.784647
31;0.406719;80.937000;188828347.974342
32;0.395382;78.681000;194242574.446187
33;0.396503;78.904000;193693602.352219
34;0.381553;75.929000;201282777.331455
35;0.394663;78.538000;194596246.403012
36;0.399508;79.502000;192236673.291234
37;0.379920;75.604000;202148034.495532
38;0.395578;78.720000;194146341.463418
39;0.381915;76.001000;201092090.893533
40;0.410915;81.772000;186900161.424458
41;0.365548;72.744000;210095677.994057
42;0.411186;81.826000;186776819.103964
43;0.360925;71.824000;212786812.207615
44;0.394935;78.592000;194462540.716587
45;0.395191;78.643000;194336431.723100
46;0.379683;75.557000;202273780.060087
47;0.412342;82.056000;186253290.435795
48;0.366678;72.969000;209447847.716149
49;0.394578;78.521000;194638376.994706
50;0.373538;74.334000;205601743.482106
51;0.380070;75.634000;202067853.081950
52;0.378905;75.402000;202689583.830678
53;0.395442;78.693000;194212954.138224
54;0.400492;79.698000;191763908.755555
55;0.416874;82.958000;184228163.649066
56;0.382799;76.177000;200627485.986566
57;0.362804;72.198000;211684534.197623
58;0.403487;80.294000;190340498.667403
59;0.395422;78.689000;194222826.570401
60;0.395603;78.725000;194134010.797086
61;0.367749;73.182000;208838238.911202
62;0.409719;81.534000;187445728.162506
63;0.365116;72.658000;210344352.996235
64;0.382497;76.117000;200785632.644475
65;0.381739;75.966000;201184740.541823
