Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.159950;31.830000;480150801.131006
1;0.151809;30.210000;505898709.036746
2;0.156141;31.072000;491864057.672497
3;0.151035;30.056000;508490817.141339
4;0.155960;31.036000;492434592.086620
5;0.148648;29.581000;516655961.597008
6;0.153337;30.514000;500858622.271763
7;0.153628;30.572000;499908412.926904
8;0.153357;30.518000;500792974.637947
9;0.156106;31.065000;491974891.356827
10;0.151181;30.085000;508000664.783105
11;0.145950;29.044000;526208511.224231
12;0.151392;30.127000;507292461.911253
13;0.151201;30.089000;507933131.709281
14;0.156196;31.083000;491689991.313598
15;0.151950;30.238000;505430253.323599
16;0.152558;30.359000;503415791.033956
17;0.146608;29.175000;523845758.354860
18;0.151020;30.053000;508541576.548044
19;0.150955;30.040000;508761651.131620
20;0.153568;30.560000;500104712.041879
21;0.147286;29.310000;521432958.034695
22;0.155774;30.999000;493022355.559737
23;0.153668;30.580000;499777632.439727
24;0.148879;29.627000;515853782.023068
25;0.154136;30.673000;498262315.391499
26;0.149281;29.707000;514464604.301968
27;0.153653;30.577000;499826667.102839
28;0.151286;30.106000;507646316.348886
29;0.155814;31.007000;492895152.707471
30;0.156095;31.063000;492006567.298665
31;0.148960;29.643000;515575346.624772
32;0.151558;30.160000;506737400.530691
33;0.149246;29.700000;514585858.585981
34;0.153744;30.595000;499532603.366593
35;0.145965;29.047000;526154163.941097
36;0.147457;29.344000;520828789.530701
37;0.151276;30.104000;507680042.519242
38;0.154663;30.778000;496562479.693205
39;0.148734;29.598000;516359213.459966
40;0.154020;30.650000;498636215.334283
41;0.153819;30.610000;499287814.439620
42;0.153940;30.634000;498896650.779961
43;0.156111;31.066000;491959054.915158
44;0.153302;30.507000;500973547.054540
45;0.149402;29.731000;514049308.802200
46;0.154181;30.682000;498116159.311640
47;0.154060;30.658000;498506099.549832
48;0.155930;31.030000;492529809.861377
49;0.153663;30.579000;499793976.258428
50;0.149246;29.700000;514585858.585950
51;0.148779;29.607000;516202249.467839
52;0.156698;31.183000;490113202.706513
53;0.153492;30.545000;500350302.831887
54;0.148894;29.630000;515801552.480640
55;0.154035;30.653000;498587413.956176
56;0.151633;30.175000;506485501.242843
57;0.150382;29.926000;510699725.990934
58;0.151186;30.086000;507983779.831108
59;0.149131;29.677000;514984668.261749
60;0.151688;30.186000;506300934.207873
61;0.153141;30.475000;501499589.827625
62;0.156040;31.052000;492180857.915799
63;0.153503;30.547000;500317543.457676
64;0.155573;30.959000;493659355.922275
65;0.150975;30.044000;508693915.590464
66;0.153724;30.591000;499597920.956487
67;0.153126;30.472000;501548962.982475
68;0.145392;28.933000;528227283.724234
69;0.153111;30.469000;501598345.859316
70;0.151075;30.064000;508355508.249499
71;0.155769;30.998000;493038260.533046
72;0.149005;29.652000;515418858.761287
73;0.151065;30.062000;508389328.720568
74;0.148734;29.598000;516359213.460865
75;0.151538;30.156000;506804615.996909
76;0.150975;30.044000;508693915.590344
77;0.153201;30.487000;501302194.378327
78;0.153437;30.534000;500530556.101696
79;0.153709;30.588000;499646920.361306
80;0.151452;30.139000;507090480.772688
81;0.148442;29.540000;517373053.487282
82;0.153251;30.497000;501137816.834436
83;0.146603;29.174000;523863714.266681
84;0.153809;30.608000;499320439.100701
85;0.151296;30.108000;507612594.659073
86;0.156005;31.045000;492291834.433510
87;0.151126;30.074000;508186473.365894
88;0.155894;31.023000;492640943.815861
89;0.156070;31.058000;492085775.001585
90;0.153724;30.591000;499597920.957068
91;0.155799;31.004000;492942846.084443
92;0.151658;30.180000;506401590.457173
93;0.153950;30.636000;498864081.472873
94;0.146618;29.177000;523809850.224288
95;0.152065;30.261000;505046098.939179
96;0.152523;30.352000;503531892.461536
97;0.156503;31.144000;490726945.799912
98;0.153276;30.502000;501055668.480489
99;0.149854;29.821000;512497904.161282
100;0.151116;30.072000;508220271.349114
101;0.150543;29.958000;510154215.902132
102;0.153538;30.554000;500202919.421491
103;0.150156;29.881000;511468826.344872
104;0.153286;30.504000;501022816.679362
105;0.153744;30.595000;499532603.366477
106;0.153804;30.607000;499336753.030066
107;0.153558;30.558000;500137443.550274
108;0.150201;29.890000;511314821.009977
109;0.155970;31.038000;492402861.009274
110;0.152256;30.299000;504412686.886715
111;0.155668;30.978000;493356575.634700
112;0.156080;31.060000;492054088.859706
113;0.151151;30.079000;508101998.071554
114;0.153819;30.610000;499287814.439446
115;0.151286;30.106000;507646316.348841
116;0.151422;30.133000;507191451.232999
117;0.153834;30.613000;499238885.440554
118;0.150915;30.032000;508897176.345016
119;0.156121;31.068000;491927385.090468
120;0.148844;29.620000;515975692.099971
121;0.156246;31.093000;491531856.045186
122;0.153533;30.553000;500219291.068310
123;0.155683;30.981000;493308802.168836
124;0.148523;29.556000;517092976.045047
125;0.155950;31.034000;492466327.254233
126;0.153839;30.614000;499222577.905477
127;0.146251;29.104000;525123694.337736
128;0.153392;30.525000;500678132.678003
129;0.150844;30.018000;509134519.288817
130;0.147578;29.368000;520403159.903039
131;0.153568;30.560000;500104712.041632
132;0.151196;30.088000;507950013.295069
133;0.148894;29.630000;515801552.479650
134;0.154236;30.693000;497937640.504705
135;0.148894;29.630000;515801552.481011
136;0.151538;30.156000;506804615.997327
137;0.155457;30.936000;494026377.036284
138;0.156075;31.059000;492069931.419958
139;0.153417;30.530000;500596134.949948
140;0.155794;31.003000;492958745.927049
141;0.151131;30.075000;508169576.059189
142;0.155714;30.987000;493213282.989816
143;0.152683;30.384000;503001579.778629
144;0.149764;29.803000;512807435.492929
145;0.149085;29.668000;515140892.544139
146;0.153905;30.627000;499010676.854061
147;0.145417;28.938000;528136014.929308
148;0.153688;30.584000;499712267.853674
149;0.155824;31.009000;492863362.249711
150;0.153613;30.569000;499957473.257340
151;0.145317;28.918000;528501279.479048
152;0.153593;30.565000;500022902.012175
153;0.151397;30.128000;507275624.003569
154;0.153648;30.576000;499843014.128207
155;0.149075;29.666000;515175621.922627
156;0.153673;30.581000;499761289.689942
157;0.155749;30.994000;493101890.687507
158;0.153101;30.467000;501631273.180208
159;0.153111;30.469000;501598345.858965
160;0.147497;29.352000;520686835.650493
161;0.148920;29.635000;515714526.742912
162;0.151146;30.078000;508118890.884609
163;0.146915;29.236000;522752770.557530
164;0.153643;30.575000;499859362.224289
165;0.148648;29.581000;516655961.596842
166;0.153759;30.598000;499483626.381195
167;0.155844;31.013000;492799793.634790
168;0.153533;30.553000;500219291.066856
169;0.153332;30.513000;500875036.869312
170;0.151518;30.152000;506871849.297594
171;0.151322;30.113000;507528310.031732
172;0.151427;30.134000;507174620.031183
173;0.146452;29.144000;524402964.590606
174;0.153764;30.599000;499467302.853925
175;0.153357;30.518000;500792974.638723
176;0.156146;31.073000;491848228.365586
177;0.151231;30.095000;507831865.758503
178;0.148477;29.547000;517250482.283196
179;0.147698;29.392000;519978225.366793
180;0.153663;30.579000;499793976.258632
181;0.151744;30.197000;506116501.639098
182;0.154030;30.652000;498603680.020130
183;0.157111;31.265000;488827762.673842
184;0.152598;30.367000;503283169.229549
185;0.153578;30.562000;500071984.819321
186;0.156623;31.168000;490349075.975120
187;0.155804;31.005000;492926947.265773
188;0.154161;30.678000;498181106.982751
189;0.146849;29.223000;522985319.781568
190;0.153653;30.577000;499826667.102360
191;0.147809;29.414000;519589311.213430
192;0.153965;30.639000;498815235.482671
193;0.156578;31.159000;490490708.945863
194;0.154151;30.676000;498213587.170397
195;0.151925;30.233000;505513842.491020
196;0.152020;30.252000;505196350.655141
197;0.149467;29.744000;513824636.901545
198;0.151593;30.167000;506619816.356000
199;0.148578;29.567000;516900598.638759
200;0.153392;30.525000;500678132.677712
201;0.150910;30.031000;508914122.075164
202;0.150925;30.034000;508863288.273883
203;0.153533;30.553000;500219291.068368
204;0.154045;30.655000;498554885.011247
205;0.148759;29.603000;516271999.459362
206;0.149206;29.692000;514724504.916583
207;0.156126;31.069000;491911551.708354
208;0.156266;31.097000;491468630.412896
209;0.146412;29.136000;524546952.224160
210;0.153628;30.572000;499908412.927104
211;0.152724;30.392000;502869176.099106
212;0.153829;30.612000;499255194.041819
213;0.151095;30.068000;508287880.803032
214;0.147633;29.379000;520208312.060035
215;0.151055;30.060000;508423153.692273
216;0.154623;30.770000;496691582.709795
217;0.154869;30.819000;495901878.711740
218;0.158633;31.568000;484135833.755592
219;0.150151;29.880000;511485943.775246
220;0.154141;30.674000;498246071.592307
221;0.156568;31.157000;490522194.048591
222;0.152613;30.370000;503233454.067845
223;0.154402;30.726000;497402851.005986
224;0.157683;31.379000;487051849.963775
225;0.156638;31.171000;490301883.160622
226;0.153869;30.620000;499124755.063457
227;0.154106;30.667000;498359800.436703
228;0.144050;28.666000;533147282.495845
229;0.156206;31.085000;491658356.120245
230;0.155935;31.031000;492513937.675023
231;0.146683;29.190000;523576567.317450
232;0.153709;30.588000;499646920.360667
233;0.150126;29.875000;511571548.115746
234;0.154638;30.773000;496643161.211663
235;0.153206;30.488000;501285751.769347
236;0.149035;29.658000;515314586.284660
237;0.151648;30.178000;506435151.435308
238;0.151412;30.131000;507225116.989074
239;0.146392;29.132000;524618975.698033
240;0.149543;29.759000;513565644.006390
241;0.154070;30.660000;498473581.212655
242;0.153136;30.474000;501516046.466689
243;0.151186;30.086000;507983779.830599
244;0.151070;30.063000;508372417.922630
245;0.153487;30.544000;500366684.128763
246;0.155769;30.998000;493038260.533215
247;0.156196;31.083000;491689991.313542
248;0.153477;30.542000;500399449.937957
249;0.151407;30.130000;507241951.543795
250;0.151503;30.149000;506922285.979967
251;0.150749;29.999000;509456981.899817
252;0.149864;29.823000;512463534.855276
253;0.151095;30.068000;508287880.803032
254;0.153683;30.583000;499728607.395569
255;0.151663;30.181000;506384811.637551
256;0.157442;31.331000;487798027.513216
257;0.156402;31.124000;491042282.483445
258;0.153714;30.589000;499630586.158554
259;0.153090;30.465000;501664204.823813
260;0.154950;30.835000;495644559.753017
261;0.153482;30.543000;500383066.498834
262;0.145075;28.870000;529379979.216440
263;0.156075;31.059000;492069931.421535
264;0.156372;31.118000;491136962.532989
265;0.156181;31.080000;491737451.734933
266;0.148487;29.549000;517215472.604277
267;0.152131;30.274000;504829226.399980
268;0.156789;31.201000;489830454.152176
269;0.152030;30.254000;505162953.659269
270;0.151910;30.230000;505564009.262508
271;0.151608;30.170000;506569439.839976
272;0.151980;30.244000;505329982.804672
