Essai;Temps_frame;Pixel_par_seconde
284;0.021452;4.269000;3580042164.440324
285;0.002573;0.512000;29849999999.944256
286;0.031869;6.342000;2409839167.453347
287;0.031950;6.358000;2403774771.939990
288;0.055990;11.142000;1371674744.211860
289;0.029492;5.869000;2604055205.317589
290;0.048523;9.656000;1582767191.383287
291;0.050116;9.973000;1532457635.615957
292;0.081377;16.194000;943756947.017334
293;0.073683;14.663000;1042296937.870793
294;0.044799;8.915000;1714324172.743507
295;0.018503;3.682000;4150787615.424438
296;0.043573;8.671000;1762564871.411603
297;0.035925;7.149000;2137809483.843740
298;0.025925;5.159000;2962434580.346097
299;0.001322;0.263000;58111026615.991188
